station_id,phase_time,phase_score,phase_type,dt
C,2017-03-03 07:09:30.398,0.327,S,0.01
C,2017-03-03 07:11:11.178,0.568,S,0.01
C,2017-03-03 07:11:35.318,0.417,S,0.01
C,2017-03-03 07:12:47.838,0.353,S,0.01
C,2017-03-03 07:12:57.158,0.327,S,0.01
C,2017-03-03 07:13:11.638,0.316,S,0.01
C,2017-03-03 07:13:49.578,0.428,S,0.01
C,2017-03-03 07:15:26.008,0.41,S,0.01
C,2017-03-03 07:15:35.258,0.427,S,0.01
C,2017-03-03 07:18:37.858,0.486,S,0.01
C,2017-03-03 07:22:37.548,0.531,S,0.01
C,2017-03-03 07:24:22.858,0.481,S,0.01
C,2017-03-03 07:24:42.318,0.412,S,0.01
C,2017-03-03 07:26:08.478,0.37,S,0.01
C,2017-03-03 07:26:27.978,0.332,S,0.01
C,2017-03-03 07:30:57.018,0.765,S,0.01
C,2017-03-03 07:38:42.538,0.655,S,0.01
C,2017-03-03 07:39:30.828,0.467,S,0.01
C,2017-03-03 07:39:40.398,0.328,S,0.01
C,2017-03-03 07:42:56.768,0.631,S,0.01
C,2017-03-03 07:44:18.748,0.678,S,0.01
C,2017-03-03 07:47:20.558,0.321,S,0.01
C,2017-03-03 07:48:01.288,0.497,S,0.01
C,2017-03-03 07:48:13.558,0.436,S,0.01
C,2017-03-03 07:49:06.758,0.433,S,0.01
C,2017-03-03 07:53:39.738,0.476,S,0.01
C,2017-03-03 07:56:04.388,0.84,S,0.01
C,2017-03-03 07:56:37.728,0.325,S,0.01
C,2017-03-03 07:58:27.818,0.447,S,0.01
C,2017-03-03 08:01:15.678,0.341,S,0.01
C,2017-03-03 08:01:40.298,0.37,S,0.01
C,2017-03-03 08:03:16.118,0.322,S,0.01
C,2017-03-03 08:08:52.118,0.445,S,0.01
C,2017-03-03 08:09:35.368,0.498,S,0.01
C,2017-03-03 08:13:30.008,0.449,S,0.01
C,2017-03-03 08:14:13.818,0.594,S,0.01
C,2017-03-03 08:15:11.438,0.351,S,0.01
C,2017-03-03 08:22:27.958,0.305,S,0.01
