index,network,station,location,instrument,component,sensitivity,latitude,longitude,elevation_m,depth_km,x_km,y_km,z_km,provider
GM.AE04.01.HH,GM,AE04,01,HH,ENZ,"[471574000.0, 471574000.0, 471574000.0]",38.48704,-119.48589,1904.0,-1.904,1.231,109.561,-1.904,NC
GM.AE04.01.HN,GM,AE04,01,HN,ENZ,"[320811.0, 320811.0, 320811.0]",38.48704,-119.48589,1904.0,-1.904,1.231,109.561,-1.904,NC
GM.AE05.01.HH,GM,AE05,01,HH,ENZ,"[471575000.0, 471575000.0, 471575000.0]",38.52931,-119.19248,2186.0,-2.186,26.817,114.297,-2.186,NC
GM.AE05.01.HN,GM,AE05,01,HN,ENZ,"[320812.0, 320812.0, 320812.0]",38.52931,-119.19248,2186.0,-2.186,26.817,114.297,-2.186,NC
GM.AE06.01.HH,GM,AE06,01,HH,ENZ,"[471316000.0, 471316000.0, 471316000.0]",38.60981,-119.925175,2471.0,-2.471,-37.036,123.275,-2.471,NC
GM.AE06.01.HN,GM,AE06,01,HN,ENZ,"[320812.0, 320812.0, 320812.0]",38.60981,-119.925175,2471.0,-2.471,-37.036,123.275,-2.471,NC
GM.LST1.01.EH,GM,LST1,01,EH,ENZ,"[1775100000.0, 1775100000.0, 1775100000.0]",41.471331,-122.304108,1335.0,-1.335,-234.506,444.744,-1.335,NC
GM.LST2.01.EH,GM,LST2,01,EH,ENZ,"[1775100000.0, 1775100000.0, 1775100000.0]",41.462034,-122.217914,2180.0,-2.18,-227.329,443.49,-2.18,NC
GM.LST3.01.EH,GM,LST3,01,EH,ENZ,"[1775100000.0, 1775100000.0, 1775100000.0]",41.334475,-122.105693,1537.0,-1.537,-218.354,429.03,-1.537,NC
GM.LST4.01.EH,GM,LST4,01,EH,ENZ,"[1775100000.0, 1775100000.0, 1775100000.0]",41.375903,122.125359,2056.0,-2.056,-7533.346,8473.376,-2.056,NC
GM.LST5.01.EH,GM,LST5,01,EH,ENZ,"[1775100000.0, 1775100000.0, 1775100000.0]",41.386588,-122.192659,3386.0,-3.386,-225.468,435.038,-3.386,NC
GS.CN01..HN,GS,CN01,,HN,12Z,"[427987.0, 427987.0, 427987.0]",38.004971,-122.031174,11.0,-0.011,-222.304,59.055,-0.011,NC
GS.CN11..HN,GS,CN11,,HN,12Z,"[427987.0, 427987.0, 427987.0]",37.972717,-121.965118,85.0,-0.085,-216.597,55.32,-0.085,NC
GS.DV01..HN,GS,DV01,,HN,12Z,"[427987.0, 427987.0, 427987.0]",37.835522,-121.949173,192.0,-0.192,-215.594,40.056,-0.192,NC
GS.LV1A..HN,GS,LV1A,,HN,12Z,"[427987.0, 427987.0, 427987.0]",37.728958,-121.714012,170.0,-0.17,-195.174,27.714,-0.17,NC
GS.LV1C..HN,GS,LV1C,,HN,12Z,"[427987.0, 427987.0, 427987.0]",37.707863,-121.743851,155.0,-0.155,-197.86,25.435,-0.155,NC
